"各位保研er大家好！这里是【保研星途】推免招生信息公益分享！
保研星途在2025年总计陪伴3500+学员（含各类全程班、单项班学员等），拿到保研名额的学员上岸率为99.2%，上岸学员中98.6%获得理想offer并实现院校档次跃迁提升。
欢迎联系我们，领取保研资料→",,,,,,
序号,学校 ,学院,通知名称,通知链接,DDL,
82,中国人民大学,心理学系,2026年中国人民大学心理学系2027年推免生接收工作报名通知,http://psy.ruc.edu.cn/xwdt/tzgg/efeb9a4f6748498aa5442ecc9e41e258.htm,2026-07-06,
83,合肥工业大学,外国语学院,2026年合肥工业大学外国语学院优秀大学生夏令营活动通知,https://wgyxy.hfut.edu.cn/2026/0629/c6444a320694/page.htm,2026-07-06,
84,华东师范大学,体育与健康学院,2026年华东师范大学体育与健康学院2026年优秀大学生夏令营营员招生通知,https://mp.weixin.qq.com/s/NI9GjnXYVj3cwzUmjWKGzA,2026-07-05,
85,中国人民大学,国际关系学院,2026年中国人民大学国际关系学院2027年推免生接收工作报名通知,http://sis.ruc.edu.cn/ch/xxgkzw/tzggzw/8e60d0bd68ff44a88a9d91d5e69918fd.htm,2026-07-05,
86,西北农林科技大学,语言文化学院,2026年西北农林科技大学语言文化学院全国优秀大学生暑期夏令营通知,https://fld.nwsuaf.edu.cn/tzgg/1fb9296dae0b4f7aa8ed65fc4b662aa1.htm,2026-07-05,
87,厦门大学,教育研究院,2026年厦门大学教育研究院关于2027年接收推荐免试研究生（含直博生）预报名的通知,https://mp.weixin.qq.com/s/TV6b6QdwkHf1X8QyOztItQ,2026-07-05,
88,上海理工大学,外语学院,2026年上海理工大学外语学院全国大学生夏令营,https://waiyu.usst.edu.cn/2026/0701/c5572a367805/page.htm,2026-07-05,
89,湖南工商大学,外国语学院,2026年湖南工商大学外国语学院“2027年研究生招生·薪火计划宣讲营”活动通知,https://en.hutb.edu.cn/tzgg/content_98118,2026-07-04,
90,电子科技大学,外国语学院,2026年电子科技大学外国语学院全国优秀大学生暑期夏令营通知,https://mp.weixin.qq.com/s/ijBazFYZzRTns3x66qbzzA,2026-07-04,
91,兰州大学,新闻与传播学院,2026年兰州大学新闻与传播学院优秀大学生夏令营实施方案,https://xwxy.lzu.edu.cn/tongzhigonggao/2026/0625/333791.html,2026-07-03,
92,北京林业大学,艺术设计学院,2026年北京林业大学艺术设计学院优秀大学生夏令营活动通知,https://mp.weixin.qq.com/s/9q4my5mNuDZUopRaACcP9A?scene=1&click_id=1672837399,2026-07-03,
93,兰州大学,威尔士学院,2026年兰州大学威尔士学院 全国优秀大学生暑期夏令营通知,https://mp.weixin.qq.com/s/bHOzbrAUyjFQGSGjaPLVhw,2026-07-03,
94,东南大学,高等教育研究所,2026年东南大学高等教育研究所2027年接收推荐免试研究生报名通知,https://bme.seu.edu.cn/2026/0709/c480a576184/page.htm,2026-07-30,
95,河南大学,体育学院,2026年河南大学体育学院关于举办优秀大学生暑期夏令营活动的通知,https://tyxy.henu.edu.cn/info/1199/9792.htm,2026-07-02,
96,华东师范大学,外语学院,2026年华东师范大学外语学院举办“优秀大学生夏令营”活动的通知,https://www.fl.ecnu.edu.cn/b4/a2/c11684a767138/page.htm,2026-07-02,
97,清华大学,教育学院,2026年清华大学教育学院2027年接收优秀应届本科毕业生免试攻读研究生报名的通知,https://mp.weixin.qq.com/s/40e8PPeI1Kr2uhIU5dGjQw,2026-07-28,
98,清华大学,国际与地区研究院,2026年清华大学国际与地区研究院2027年博士研究生招生简章,https://iias.tsinghua.edu.cn/info/1183/4462.htm,2026-07-28,
99,清华大学,心理与认知科学系,2026年清华大学心理与认知科学系2027年博士研究生招生简章,https://yzbm.tsinghua.edu.cn/publish/s03/s0302/detail/df05ba0d-c343-4851-b007-1ba163fbe521?yxsdm=095,2026-07-28,
100,清华大学,外国语言文学系,2026年清华大学外国语言文学系2027年博士研究生招生简章,https://yzbm.tsinghua.edu.cn/publish/s03/s0302/detail/caf3547b-ca63-43a3-9cdd-0d9a8a090130?yxsdm=064,2026-07-28,
101,清华大学,新闻与传播学院,2026年清华大学新闻与传播学院2027年博士研究生招生简章,https://yzbm.tsinghua.edu.cn/publish/s03/s0302/detail/ae3e9906-d9a6-48ed-a020-41f12b66028b?yxsdm=067,2026-07-28,
102,清华大学,社会科学学院,2026年清华大学社会科学学院2027年博士研究生招生简章,https://yzbm.tsinghua.edu.cn/publish/s03/s0302/detail/a2a2262e-cad4-44db-93ba-41d58ed9ff65?yxsdm=070,2026-07-28,
